cell_id,province_name,district_name,sector_name,cell_name,elderly_60_plus_2020,general_2020,children_under_five_2020,youth_15_24_2020,men_2020,women_2020,building_count
RWA.1.2.9.4_1,Amajyaruguru,Gakenke,Kivuruga,Ruhinga,307.460332,5287.552141,692.346218,1095.87474,2472.804857,2814.747284,942.0
RWA.1.2.9.5_1,Amajyaruguru,Gakenke,Kivuruga,Sereri,262.448079,4587.486411,606.906066,947.91543,2145.523167,2441.963277,908.0
RWA.1.2.10.1_1,Amajyaruguru,Gakenke,Mataba,Buyange,215.769553,3824.614807,515.274772,739.0686609999999,1826.27915,1998.335657,740.0
RWA.1.2.10.2_1,Amajyaruguru,Gakenke,Mataba,Gikombe,255.94356299999998,4543.031949,611.599553,872.694985,2171.134509,2371.89744,1012.0
RWA.1.2.10.3_1,Amajyaruguru,Gakenke,Mataba,Nyundo,277.685812,4929.3598919999995,663.572088,947.920812,2356.140488,2573.219404,1065.0
RWA.1.2.11.1_1,Amajyaruguru,Gakenke,Minazi,Gasiho,157.84892399999998,2696.7373749999997,366.133384,564.91043,1265.31062,1431.426755,772.0
RWA.1.2.11.2_1,Amajyaruguru,Gakenke,Minazi,Munyana,188.22839999999997,3247.6627999999996,444.16159999999996,684.2492,1522.1544,1725.5084,642.0
RWA.1.2.11.3_1,Amajyaruguru,Gakenke,Minazi,Murambi,198.16033799999997,3417.8632749999997,467.322208,719.96676,1601.9856399999999,1815.877635,649.0
RWA.1.2.11.4_1,Amajyaruguru,Gakenke,Minazi,Raba,182.97206799999998,3103.244764,420.132814,650.99592,1455.299894,1647.94487,885.0
RWA.1.2.12.1_1,Amajyaruguru,Gakenke,Mugunga,Gahinga,127.43173799999997,2370.371017,332.187591,429.47861900000004,1125.806336,1244.564689,399.0
RWA.1.2.12.2_1,Amajyaruguru,Gakenke,Mugunga,Munyana,104.66883199999998,1952.3041,273.77227200000004,353.131048,927.8007240000001,1024.5033760000001,471.0
RWA.1.2.12.3_1,Amajyaruguru,Gakenke,Mugunga,Mutego,136.20379199999996,2529.576286,355.41436400000003,456.7031,1199.838878,1329.7374080000002,547.0
RWA.1.2.12.4_1,Amajyaruguru,Gakenke,Mugunga,Nkomane,206.79027199999996,3849.002875,539.773176,697.244656,1827.937875,2021.0650180000002,704.0
RWA.1.2.12.5_1,Amajyaruguru,Gakenke,Mugunga,Rutabo,152.77573999999996,2828.223883,394.97490600000003,513.514336,1343.1606610000001,1485.0632220000002,628.0
RWA.1.2.12.6_1,Amajyaruguru,Gakenke,Mugunga,Rutenderi,164.04563799999997,3068.250424,430.89338200000003,555.638061,1457.643358,1610.6070630000002,597.0
RWA.1.2.12.7_1,Amajyaruguru,Gakenke,Mugunga,Rwamambe,184.50099199999997,3441.3496,482.581632,622.468288,1635.445344,1805.9042560000003,532.0
RWA.1.2.13.1_1,Amajyaruguru,Gakenke,Muhondo,Busake,115.93176899999999,1600.8958570000002,201.065425,300.628213,757.83649,843.059367,552.0
RWA.1.2.13.2_1,Amajyaruguru,Gakenke,Muhondo,Bwenda,141.87760699999998,1898.730868,234.575534,353.83310400000005,900.043795,998.6870729999999,716.0
