cell_id,province_name,district_name,sector_name ,cell_name
RWA.1.3.17.1_1,Amajyaruguru,Gicumbi,Rushaki,Gitega
RWA.1.3.17.2_1,Amajyaruguru,Gicumbi,Rushaki,Kamutora
RWA.1.3.17.3_1,Amajyaruguru,Gicumbi,Rushaki,Karurama
RWA.1.3.18.1_1,Amajyaruguru,Gicumbi,Rutare,Bikumba
RWA.1.3.18.2_1,Amajyaruguru,Gicumbi,Rutare,Gasharu
RWA.1.3.18.3_1,Amajyaruguru,Gicumbi,Rutare,Gatwaro
RWA.1.3.18.4_1,Amajyaruguru,Gicumbi,Rutare,Kigabiro
RWA.1.3.18.5_1,Amajyaruguru,Gicumbi,Rutare,Munanira
RWA.1.3.18.6_1,Amajyaruguru,Gicumbi,Rutare,Nkoto
RWA.1.3.19.1_1,Amajyaruguru,Gicumbi,Ruvune,Cyandaro
RWA.1.3.19.2_1,Amajyaruguru,Gicumbi,Ruvune,Gasambya
RWA.1.3.19.3_1,Amajyaruguru,Gicumbi,Ruvune,Gashirira
RWA.1.3.19.4_1,Amajyaruguru,Gicumbi,Ruvune,Kabare
RWA.1.3.19.5_1,Amajyaruguru,Gicumbi,Ruvune,Rebero
RWA.1.3.19.6_1,Amajyaruguru,Gicumbi,Ruvune,Ruhondo
RWA.1.3.20.1_1,Amajyaruguru,Gicumbi,Rwamiko,Cyeru
RWA.1.3.20.2_1,Amajyaruguru,Gicumbi,Rwamiko,Kigabiro
RWA.1.3.20.3_1,Amajyaruguru,Gicumbi,Rwamiko,Nyagahinga
RWA.1.3.21.1_1,Amajyaruguru,Gicumbi,Shangasha,Bushara
RWA.1.3.21.2_1,Amajyaruguru,Gicumbi,Shangasha,Kitazigurwa
RWA.1.3.21.3_1,Amajyaruguru,Gicumbi,Shangasha,Nyabishambi
RWA.1.3.21.4_1,Amajyaruguru,Gicumbi,Shangasha,Nyabubare
RWA.1.3.21.5_1,Amajyaruguru,Gicumbi,Shangasha,Shangasha
RWA.1.4.1.1_1,Amajyaruguru,Musanze,Busogo,Gisesero
RWA.1.4.1.2_1,Amajyaruguru,Musanze,Busogo,Kavumu
RWA.1.4.1.3_1,Amajyaruguru,Musanze,Busogo,Nyagisozi
RWA.1.4.1.4_1,Amajyaruguru,Musanze,Busogo,Sahara
RWA.1.4.2.1_1,Amajyaruguru,Musanze,Cyuve,Bukinanyana
RWA.1.4.2.2_1,Amajyaruguru,Musanze,Cyuve,Buruba
